year;abbr;canton;age;sex;population
1991;LU;Luzern;27;2;2926
1991;LU;Luzern;28;2;2886
1991;LU;Luzern;29;2;2838
1991;LU;Luzern;30;2;2772
1991;LU;Luzern;31;2;2696
1991;LU;Luzern;32;2;2680
1991;LU;Luzern;33;2;2552
1991;LU;Luzern;34;2;2544
1991;LU;Luzern;35;2;2369
1991;LU;Luzern;36;2;2271
1991;LU;Luzern;37;2;2396
1991;LU;Luzern;38;2;2188
1991;LU;Luzern;39;2;2254
1991;LU;Luzern;40;2;2132
1991;LU;Luzern;41;2;2197
1991;LU;Luzern;42;2;2129
1991;LU;Luzern;43;2;2136
1991;LU;Luzern;44;2;2116
1991;LU;Luzern;45;2;2081
1991;LU;Luzern;46;2;2010
1991;LU;Luzern;47;2;1991
1991;LU;Luzern;48;2;1966
1991;LU;Luzern;49;2;1908
1991;LU;Luzern;50;2;1847
1991;LU;Luzern;51;2;1839
1991;LU;Luzern;52;2;1765
1991;LU;Luzern;53;2;1731
1991;LU;Luzern;54;2;1690
1991;LU;Luzern;55;2;1759
1991;LU;Luzern;56;2;1713
1991;LU;Luzern;57;2;1720
1991;LU;Luzern;58;2;1733
1991;LU;Luzern;59;2;1609
1991;LU;Luzern;60;2;1642
1991;LU;Luzern;61;2;1615
1991;LU;Luzern;62;2;1548
1991;LU;Luzern;63;2;1548
1991;LU;Luzern;64;2;1463
1991;LU;Luzern;65;2;1462
1991;LU;Luzern;66;2;1451
1991;LU;Luzern;67;2;1467
1991;LU;Luzern;68;2;1386
1991;LU;Luzern;69;2;1302
1991;LU;Luzern;70;2;1348
1991;LU;Luzern;71;2;1280
1991;LU;Luzern;72;2;1162
1991;LU;Luzern;73;2;1178
1991;LU;Luzern;74;2;1056
1991;LU;Luzern;75;2;1073
